casino_name,website_url,accepted_crypto,bonus_percentage,bonus_max_amount_in_euro,max_bonus_value,free_spins,bonus_type,logo_path,player_rating,casino_rating,pros_path,cons_path,review_path
Vave Casino,https://vave.com/,"₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",150%,€1.0,€2,100,1st Deposit Bonus,casino_logos/vave_casino.webp,8.1,7.1,pros/vave_casino.txt,cons/vave_casino.txt,review/vave_casino.txt
SpinFever Casino,https://www.spinfever.com,"₳, ℬ, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",125%,€500.0,€625,50,Other,casino_logos/spinfever_casino.webp,4.0,7.0,pros/spinfever_casino.txt,cons/spinfever_casino.txt,review/spinfever_casino.txt
Dailyspins Casino,https://dailyspins.com/,"₳, ₿, Ƀ, Ð, Ξ, Ł, τ, ₮",100%,€500.0,€500,200,1st Deposit Bonus,casino_logos/dailyspins_casino.webp,7.0,7.0,pros/dailyspins_casino.txt,cons/dailyspins_casino.txt,review/dailyspins_casino.txt
Whamoo Casino,https://whamoo.com/en-int/,"₿, Ƀ, Ð, Ξ, Ł, ✕, ₮",100%,€200.0,€200,50,1st Deposit Bonus,casino_logos/whamoo_casino.webp,3.3,7.0,pros/whamoo_casino.txt,cons/whamoo_casino.txt,review/whamoo_casino.txt
1xSlots Casino,https://1xslot.com/,Ð,100%,€300.0,€300,30,1st Deposit Bonus,casino_logos/1xslots_casino.webp,5.8,7.2,pros/1xslots_casino.txt,cons/1xslots_casino.txt,review/1xslots_casino.txt
Mystake Casino,https://mystake.com/en/,"₿, Ƀ, Ξ, Ł, ✕, ₮",100%,-,-,0,Other,casino_logos/mystake_casino.webp,9.2,7.0,pros/mystake_casino.txt,cons/mystake_casino.txt,review/mystake_casino.txt
Rooli Casino,https://www.rooli.com,"ℬ, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",100%,€500.0,€500,200,1st Deposit Bonus,casino_logos/rooli_casino.webp,4.7,7.0,pros/rooli_casino.txt,cons/rooli_casino.txt,review/rooli_casino.txt
LuckyChoo Casino,https://luckychoo.com/,"₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",150%,€1000.0,€1500,50,Other,casino_logos/luckychoo_casino.webp,8.0,7.0,pros/luckychoo_casino.txt,cons/luckychoo_casino.txt,review/luckychoo_casino.txt
Winning Casino,https://www.winning.io,"₳, ℬ, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",100%,€310.0,€310,150,Other,casino_logos/winning_casino.webp,4.6,7.0,pros/winning_casino.txt,cons/winning_casino.txt,review/winning_casino.txt
Monro Casino,https://monro.casino,₿,50%,€300.0,€150,0,1st Deposit Bonus,casino_logos/monro_casino.webp,6.0,7.0,pros/monro_casino.txt,cons/monro_casino.txt,review/monro_casino.txt
Marsbet Casino,https://www.marsbet.com/en/,"₿, Ξ, τ, ₮",100%,€200.0,€200,100,Other,casino_logos/marsbet_casino.webp,5.1,7.0,pros/marsbet_casino.txt,cons/marsbet_casino.txt,review/marsbet_casino.txt
